,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1957,1019.1,1018.2,1016.6,1014.2,1009.7,1006.3,1008.6,1005.5,1008.4,1015.6,1017.0,1018.4,1013.1
1,1958,1022.1,1018.2,1016.8,1014.5,1010.3,1006.7,1006.1,1009.8,1007.9,1014.2,1018.5,1018.6,1013.6
2,1959,1021.7,1017.6,1018.5,1013.3,1011.0,1006.5,1007.3,1003.8,1007.9,1012.8,1015.9,1019.3,1013.0
3,1960,1019.7,1019.9,1014.0,1013.5,1010.7,1007.4,1007.2,1001.3,1010.4,1014.3,1017.4,1019.6,1013.0
4,1961,1021.9,1017.5,1017.2,1014.0,1009.7,1006.7,1005.4,1005.8,1007.0,1012.9,1018.1,1018.3,1012.9
5,1962,1019.9,1020.2,1016.8,1014.6,1009.6,1006.4,1004.7,1007.2,1009.3,1013.7,1017.1,1019.0,1013.2
6,1963,1020.6,1022.1,1017.3,1015.5,1010.6,1006.2,1007.6,1008.1,1006.1,1015.8,1017.9,1019.3,1013.9
7,1964,1018.7,1021.7,1018.0,1014.3,1010.2,1006.8,1008.0,1004.9,1009.9,1013.2,1016.7,1018.9,1013.4
8,1965,1019.8,1017.3,1017.0,1013.5,1009.4,1006.7,1007.7,1006.9,1009.5,1015.7,1017.8,1019.9,1013.4
9,1966,1020.0,1017.6,1013.9,1012.6,1010.3,1008.2,1008.1,1005.2,1005.9,1015.8,1016.8,1017.5,1012.7
10,1967,1022.2,1020.7,1017.3,1014.0,1008.7,1004.7,1004.5,1006.2,1009.4,1013.4,1017.8,1021.9,1013.4
11,1968,1019.4,1020.3,1016.1,1016.2,1009.4,1008.4,1004.9,1005.4,1008.9,1015.5,1019.4,1017.9,1013.5
12,1969,1017.4,1018.1,1016.9,1015.5,1009.0,1007.5,1008.0,1008.2,1006.4,1013.1,1018.4,1021.5,1013.3
13,1970,1020.0,1019.5,1016.5,1015.6,1009.9,1008.8,1006.2,1005.3,1008.2,1013.2,1017.9,1018.1,1013.3
14,1971,1019.9,1018.4,1017.9,1013.4,1011.4,1008.4,1006.7,1007.8,1006.4,1014.7,1018.7,1020.0,1013.6
15,1972,1019.3,1016.1,1018.5,1015.3,1009.7,1007.1,1001.4,1005.9,1011.9,1016.1,1018.6,1019.4,1013.3
16,1973,1018.8,1018.0,1017.8,1012.7,1010.1,1006.0,1006.1,1007.7,1012.2,1013.9,1018.1,1020.9,1013.5
17,1974,1018.2,1018.7,1017.5,1012.9,1010.1,1005.9,1006.2,1003.3,1009.0,1011.6,1016.3,1019.4,1012.4
18,1975,1020.5,1018.4,1015.6,1013.3,1009.5,1007.1,1007.3,1002.7,1010.0,1011.5,1017.1 ),1020.3,1012.8
19,1976,1020.9,1016.7,1016.6,1013.8,1008.8,1007.0,1006.7,1008.4,1009.2,1014.5,1018.5,1019.0,1013.3
20,1977,1018.5,1021.5,1019.5,1014.3,1010.1,1006.3,1006.0,1004.3,1008.0,1016.0,1018.4,1019.2,1013.5
21,1978,1020.0,1021.1,1015.8,1013.2,1009.4,1007.3,1005.8,1004.6,1009.4,1013.5,1017.9,1021.0,1013.3
22,1979,1019.3,1016.8,1015.1,1013.9,1009.8,1010.0,1007.0,1003.8,1011.4,1014.0,1018.6,1020.6,1013.4
23,1980,1018.7,1019.8,1016.7,1014.0,1010.6,1011.5,1008.0,1007.2,1010.5,1014.9,1016.4,1019.4,1014.0
24,1981,1021.7,1018.4,1017.3,1013.9,1010.7,1006.4,1007.0,1003.5,1010.2,1014.6,1018.0,1022.1,1013.7
25,1982,1021.1,1018.2,1015.8,1014.8,1010.9,1006.7,1005.3,1005.5,1010.2,1014.7,1017.6,1019.3,1013.3
26,1983,1022.1,1018.2,1016.5,1013.6,1010.3,1007.7,1008.8,1007.1,1009.9,1014.8,1019.1,1021.4,1014.1
