,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1891,1013.1,1017.1,1016.1,1016.9,1009.1,1010.0,1008.0,1011.5,1014.0,1016.3,1017.1,1019.6,1014.1
1,1892,1017.3,1014.5,1014.5,1014.3,1012.1,1008.9,1011.1,1011.1,1011.2,1017.2,1016.8,1015.1,1013.7
2,1893,1012.9,1016.0,1014.8,1012.5,1013.2,1010.9,1008.7,1010.9,1015.9,1018.4,1016.0,1016.0,1013.9
3,1894,1014.8,1017.6,1016.5,1015.3,1013.3,1011.2,1009.7,1006.9,1014.0,1018.3,1018.8,1016.3,1014.4
4,1895,1015.3,1014.8,1016.5,1014.3,1013.7,1009.5,1008.1,1009.6,1014.7,1015.1,1017.7,1014.4,1013.6
5,1896,1011.6,1017.7,1017.3,1018.4,1014.4,1011.2,1008.0,1011.1,1011.6,1017.2,1016.3,1017.3,1014.3
6,1897,1019.3,1016.8,1020.5,1014.7,1010.1,1009.2,1010.1,1010.5,1013.6,1016.5,1018.1,1018.1,1014.8
7,1898,1019.1,1012.4,1016.8,1017.5,1010.1,1009.2,1010.1,1010.7,1012.5,1017.1,1020.0,1014.9,1014.2
8,1899,1015.1,1018.9,1015.1,1015.6,1013.7,1009.9,1006.8,1011.9,1015.1,1015.2,1017.7,1017.5,1014.4
9,1900,1018.0,1017.1,1015.5,1016.8,1009.6,1012.0,1007.3,1011.6,1013.5,1018.9,1018.4,1017.5,1014.7
10,1901,1018.9,1010.7,1017.1,1017.3,1011.9,1008.1,1008.7,1011.6,1011.5,1016.8,1016.5,1016.1,1013.8
11,1902,1015.3,1019.3,1016.0,1013.7,1012.4,1007.9,1011.3,1008.3,1011.2,1018.8,1020.7,1014.8,1014.1
12,1903,1016.7,1017.1,1018.5,1017.6,1013.5,1008.0,1008.9,1012.0,1014.5,1017.3,1018.0,1015.7,1014.8
13,1904,1017.5,1019.1,1017.3,1018.1,1012.5,1010.0,1009.9,1011.3,1011.5,1016.3,1015.5,1016.7,1014.6
14,1905,1015.5,1014.0,1021.5,1015.7,1013.9,1009.2,1010.5,1010.4,1014.9,1018.0,1020.5,1017.9,1015.2
15,1906,1017.1,1014.3,1014.4,1013.2,1013.2,1010.4,1006.8,1008.8,1014.1,1017.9,1020.4,1013.9,1013.7
16,1907,1018.1,1015.9,1016.7,1016.8,1009.5,1009.2,1009.9,1008.5,1013.9,1017.6,1019.9,1016.3,1014.4
17,1908,1019.1,1016.7,1016.9,1017.1,1012.7,1008.7,1009.6,1011.7,1014.9,1016.9,1014.1,1017.9,1014.7
18,1909,1018.5,1014.3,1018.3,1014.8,1012.1,1009.5,1013.1,1009.9,1012.9,1016.8,1017.9,1018.0,1014.7
19,1910,1016.0,1012.8,1014.5,1016.7,1013.5,1008.7,1009.6,1008.9,1013.7,1018.4,1018.0,1016.8,1014.0
20,1911,1019.1,1020.4,1016.8,1012.7,1015.6,1009.5,1009.9,1011.1,1015.2,1014.7,1019.2,1019.5,1015.3
21,1912,1017.3,1016.1,1015.1,1014.7,1011.7,1007.3,1008.1,1011.2,1012.5,1018.4,1018.3,1021.3,1014.3
22,1913,1018.3,1015.5,1014.8,1016.4,1010.4,1007.6,1008.8,1007.2,1013.6,1015.9,1021.6,1016.8,1013.9
23,1914,1016.8,1018.5,1017.5,1012.5,1014.4,1009.2,1008.1,1009.7,1015.5,1017.9,1019.5,1015.5,1014.6
