,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1969,1017.0,1016.9,1017.0,1018.1,1013.5,1013.5,1014.5,1013.0,1011.8,1012.2,1016.6,1019.6,1015.3
1,1970,1016.4,1019.1,1016.8,1017.2,1014.6,1013.7,1011.3,1011.7,1012.8,1014.9,1016.3,1018.1,1015.2
2,1971,1015.1,1017.0,1017.4,1014.5,1014.7,1012.8,1011.6,1009.6,1012.4,1015.8,1016.4,1019.4,1014.7
3,1972,1017.9,1013.9,1016.8,1017.9,1013.9,1012.2,1008.2,1013.6,1011.1,1012.9,1018.6,1018.5,1014.6
4,1973,1018.1,1018.4,1016.4,1017.9,1014.0,1010.8,1012.2,1015.0,1015.4,1014.3,1015.9,1016.9,1015.4
5,1974,1014.8,1016.5,1018.1,1016.3,1014.1,1010.8,1011.2,1005.0,1012.3,1014.8,1015.5,1019.4,1014.1
6,1975,1017.2,1016.1,1015.1,1016.4,1011.8,1013.6,1012.3,1012.2,1012.4,1013.4,1013.3,1016.7,1014.2
7,1976,1017.8,1017.8,1016.0,1015.9,1012.0,1013.3,1011.7,1013.1,1010.2,1014.8,1016.1,1016.7,1014.6
8,1977,1017.0,1019.0,1020.5,1017.7,1012.4,1011.8,1010.5,1005.8,1010.1,1013.7,1016.0,1018.8,1014.4
9,1978,1015.9,1017.0,1015.8,1015.2,1012.8,1013.5,1007.9,1013.4,1012.1,1013.9,1014.9,1018.8,1014.3
10,1979,1018.6,1015.7,1015.4,1017.0,1012.4,1016.2,1011.7,1011.5,1012.6,1013.1,1017.6,1019.0,1015.1
11,1980,1015.5,1018.3,1017.4,1017.8,1015.6,1015.4,1012.3,1009.2,1010.4,1015.1,1016.0,1014.2,1014.8
12,1981,1017.0,1016.3,1019.1,1016.2,1013.2,1012.3,1012.0,1007.1,1012.6,1014.6,1017.2,1017.8,1014.6
13,1982,1017.2,1017.2,1017.2,1016.3,1015.8,1010.9,1010.5,1012.3,1010.2,1012.5,1019.1,1018.5,1014.8
14,1983,1020.5,1017.7,1017.2,1017.9,1014.8,1011.0,1013.0,1010.5,1013.5,1015.1,1015.2,1016.8,1015.3
15,1984,1016.1,1015.6,1016.5,1014.5,1012.2,1012.1,1006.7,1011.0,1011.6,1010.8,1017.4,1015.9,1013.4
16,1985,1017.6,1015.3,1018.9,1013.3,1014.0,1010.9,1010.5,1010.8,1015.4,1015.7,1016.5,1017.7,1014.7
17,1986,1016.8,1015.8,1016.5,1017.1,1011.7,1011.5,1013.1,1006.3,1010.7,1015.7,1018.3,1018.3,1014.3
18,1987,1018.9,1018.1,1017.3,1016.8,1015.7,1011.7,1014.4,1013.4,1009.0,1014.8,1016.5,1018.8,1015.5
19,1988,1018.0,1017.8,1015.4,1016.1,1012.2,1011.8,1007.7,1011.2,1010.2,1012.2,1015.7,1018.0,1013.9
20,1989,1018.5,1018.4,1015.0,1014.2,1014.4,1011.9,1012.8,1007.4,1013.8,1012.3,1017.6,1016.9,1014.4
21,1990,1019.9,1021.4,1017.9,1015.5,1015.5,1014.3,1010.0,1010.4,1014.3,1014.0,1017.2,1018.1,1015.7
22,1991,1017.5,1017.4,1018.4,1016.2,1014.1,1013.5,1013.4,1004.2,1013.3 ),1011.7,1016.5,1018.1,1014.5
23,1992,1019.0,1016.1,1019.3,1014.1,1013.4,1012.6,1013.9,1009.7,1009.7,1013.5,1017.2,1019.9,1014.9
24,1993,1018.2,1018.2,1016.4,1016.6,1013.7,1012.7,1012.6,1011.2,1013.9,1015.1,1018.1,1018.7,1015.5
25,1994,1016.6,1013.9,1018.3,1015.6,1013.1,1012.6,1008.6,1011.0,1008.9,1013.1,1017.9,1019.3,1014.1
26,1995,1017.4,1016.4,1016.7,1017.3,1014.5,1011.9,1014.6,1013.9,1010.7,1013.3,1015.1,1017.7,1015.0
27,1996,1017.7,1018.0,1016.6,1014.3,1012.9,1014.5,1011.9,1009.9,1009.9,1014.4,1016.5,1017.7,1014.5
28,1997,1015.8,1017.2,1018.1,1016.2,1013.4,1012.6,1012.9,1011.5,1010.6,1014.2,1018.1,1017.7,1014.9
29,1998,1018.2,1018.3,1017.9,1019.4,1016.8,1015.1,1010.9,1011.0,1011.5,1015.0,1016.3,1017.8,1015.7
30,1999,1015.6,1018.0,1014.0,1013.4,1014.4,1013.6,1010.7,1011.6,1013.8,1014.5,1014.6,1018.6,1014.4
31,2000,1017.1,1015.0,1016.8,1014.0,1011.4,1013.3,1011.8,1011.7,1010.9,1014.1,1015.9,1016.4,1014.0
32,2001,1016.3,1017.3,1014.2,1014.5,1011.9,1012.5,1010.4,1007.3,1009.8,1013.9,1015.0,1019.4,1013.5
33,2002,1017.0,1018.8,1017.1,1016.6,1012.4,1012.1,1010.2,1010.2,1011.3,1013.6,1015.3,1018.2,1014.4
34,2003,1017.5,1017.0,1016.8,1016.7,1013.2,1012.9,1012.5,1012.8,1010.7,1011.9,1017.9,1016.8,1014.7
35,2004,1016.7,1018.3,1016.4,1014.1,1015.4,1011.7,1011.1,1010.3,1014.8,1013.3,1017.5,1017.2,1014.7
36,2005,1014.3,1017.4,1018.1,1016.9,1011.5,1013.0,1012.2,1011.7,1012.7,1014.0,1015.5,1016.6,1014.5
37,2006,1017.8,1020.2,1014.7,1014.0,1016.0,1013.6,1013.7,1008.1,1010.2,1010.3,1016.1,1018.2,1014.4
38,2007,1019.1,1017.0,1016.4,1015.6,1012.7,1011.1,1009.6,1012.9,1011.0,1013.7,1013.9,1016.4,1014.1
39,2008,1017.8,1016.3,1015.5,1014.7,1011.8,1013.1,1010.2,1009.7,1012.6,1014.4,1016.6,1016.7,1014.1
40,2009,1018.2,1017.2,1016.6,1014.2,1012.8,1011.6,1012.2,1008.2,1008.7,1013.8,1016.1,1015.1,1013.7
41,2010,1018.9,1018.5,1019.0,1018.0,1013.4,1014.1,1015.7,1014.6,1013.4,1013.4,1015.5,1012.8,1015.6
42,2011,1016.1,1016.8,1017.2,1016.4,1014.6,1015.0,1010.9,1009.7,1011.3,1015.2,1018.2,1017.8,1014.9
43,2012,1016.0,1017.1 ),1017.5,1016.2,1010.9,1011.8,1011.4,1011.1,1012.4,1012.0,1015.9,1017.6,1014.2
44,2013,1018.4,1020.2,1017.6,1014.7,1013.5,1011.7,1012.3,1010.9,1009.4,1012.4,1017.3,1016.0,1014.5
45,2014,1018.4,1016.2,1018.5,1016.1,1014.6,1009.8,1012.6,1012.8,1010.0,1014.6,1015.6,1018.2,1014.8
