,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,1007.6,1012.5,1013.4,1012.6,1012.1,1009.6,1011.2,1010.5,1012.8,1014.6,1013.3,1012.9,1011.9
1,1944,1014.1,1011.4,1014.8,1012.1,1009.8,1007.2,1007.3,1009.3,1011.6,1016.0,1014.1,1008.4,1011.3
2,1945,1008.5,1010.1,1013.4,1008.2,1008.4,1010.6,1011.2,1011.7,1012.1,1018.0,1013.7,1007.6,1011.1
3,1946,1012.5,1011.4,1014.8,1008.2,1012.0,1006.9,1008.1,1010.2,1008.8,1015.6,1015.3,1006.1,1010.8
4,1947,1014.5,1010.8,1012.6,1005.3,1009.7,1012.1,1008.4,1011.0,1011.6,1016.6,1012.6,1010.4,1011.3
5,1948,1010.1,1012.0,1016.9,1013.2,1009.8,1009.4,1010.2,1011.2,1011.6,1015.4,1016.6,1016.5,1012.7
6,1949,1009.3,1011.6,1011.4,1013.6,1008.1,1014.5,1010.8,1010.4,1012.1,1015.3,1017.3,1011.3,1012.1
7,1950,1010.1,1012.9,1011.4,1018.0,1011.2,1010.0,1007.8,1008.5,1012.6,1016.4,1016.2,1010.1,1012.1
8,1951,1013.7,1016.5,1011.9,1013.4,1007.9,1007.7,1010.2,1008.7,1011.0,1014.7,1014.8,1012.7,1011.9
9,1952,1012.3,1014.2,1014.9,1013.4,1010.2,1008.0,1009.7,1011.1,1011.4,1015.4,1018.4,1016.3,1012.9
10,1953,1014.2,1016.5,1013.8,1012.8,1014.2,1010.8,1009.9,1009.8,1012.7,1015.7,1014.1,1017.2,1013.5
11,1954,1015.0,1014.6,1015.7,1012.7,1008.1,1014.3,1012.6,1011.4,1011.6,1018.0,1016.3,1014.3,1013.7
12,1955,1013.5,1008.2,1015.5,1011.2,1013.6,1007.4,1006.2,1010.4,1014.0,1014.4,1014.7,1008.0,1011.4
13,1956,1007.5,1009.5,1016.8,1007.8,1007.2,1010.4,1011.3,1009.5,1012.9,1017.3,1015.4,1011.5,1011.4
14,1957,1013.0,1015.2,1011.1,1009.9,1010.7,1009.6,1008.6,1010.4,1011.7,1012.1,1015.0,1012.8,1011.7
15,1958,1011.6,1016.1,1008.9,1010.9,1009.5,1008.7,1007.5,1011.4,1012.1,1018.4,1017.9,1013.5,1012.2
16,1959,1010.7,1017.9,1018.1,1008.9,1010.2,1010.4,1006.7,1010.1,1011.6,1015.4,1016.4,1013.8,1012.5
17,1960,1011.5,1011.1,1013.6,1011.8,1011.2,1010.2,1008.6,1009.9,1011.3,1020.0,1017.0,1010.1,1012.2
18,1961,1013.1,1008.9,1014.7,1008.7,1007.5,1007.6,1006.0,1010.3,1011.2,1017.9,1016.5,1012.6,1011.3
19,1962,1008.1,1012.2,1007.7,1013.1,1008.5,1007.5,1009.9,1010.1,1011.8,1015.8,1016.8,1012.0,1011.1
