,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1950,1010.7,1013.3,1012.4,1010.1,1007.2,1003.6,1004.5,1001.4,1007.0,1012.2,1012.8,1014.0,1009.1
1,1951,1015.6,1012.6,1012.8,1011.9,1007.3,1003.3,1005.1,1005.7,1008.3,1011.3,1014.0,1014.6,1010.2
2,1952,1013.7,1014.1,1010.8,1011.4,1008.3,1003.3,1003.4,1005.3,1007.9,1012.1,1014.6,1016.5,1010.1
3,1953,1013.2,1017.7,1011.2,1011.9,1008.3,1002.8,1004.5,1004.8,1007.6,1012.4,1015.6,1017.7,1010.6
4,1954,1012.4,1014.2,1014.8,1009.9,1007.7,1003.7,1003.6,1005.0,1005.4,1012.6,1014.6,1017.1,1010.1
5,1955,1016.1,1010.5,1014.5,1011.5,1006.2,1004.2,1004.3,1004.7,1007.2,1010.2,1015.4,1013.0,1009.8
6,1956,1010.6,1010.2,1013.7,1009.5,1008.1,1004.4,1003.4,1004.5,1008.6,1013.4,1016.5,1016.8,1010.0
7,1957,1015.3,1015.3,1011.8,1011.6,1007.9,1003.8,1003.0,1004.5,1007.6,1011.2,1016.0,1013.8,1010.2
8,1958,1015.8,1013.7,1011.8,1011.5,1007.6,1004.4,1003.6,1005.7,1006.4,1013.8,1015.7,1014.9,1010.4
9,1959,1013.3,1016.2,1015.1,1010.0,1007.6,1003.1,1003.3,1001.9,1005.8,1012.0,1015.1,1016.7,1010.0
10,1960,1014.7,1014.7,1012.3,1011.1,1006.3,1006.0,1004.8,1004.8,1009.5,1012.8,1014.3,1013.5,1010.4
11,1961,1015.3,1011.9,1014.1,1010.8,1007.6,1004.8,1004.1,1004.9,1007.6,1010.6,1016.3,1012.9,1010.1
12,1962,1009.9,1013.4,1010.4,1011.7,1006.8,1004.1,1003.9,1006.1,1008.9,1012.7,1015.3,1013.9,1009.8
13,1963,1004.7,1013.3,1012.2,1014.3,1008.2,1006.0,1005.5,1002.9,1007.2,1013.0,1014.8,1015.2,1009.8
14,1964,1015.1,1017.9,1013.4,1014.2,1009.7,1003.2,1004.3,1003.8,1008.0,1014.9,1013.8,1016.4,1011.2
15,1965,1013.7,1012.9,1011.6,1011.0,1006.5,1004.4,1003.6,1005.3,1005.4,1013.4,1015.3,1013.7,1009.7
16,1966,1014.3,1013.2,1008.6,1010.3,1008.0,1004.9,1004.8,1003.4,1005.5,1011.7,1014.1,1014.8,1009.5
17,1967,1014.8,1015.5,1012.7,1013.7,1007.1,1001.8,1002.4,1002.9,1005.0,1011.8,1017.6,1015.2,1010.0
18,1968,1011.5,1014.7,1011.6,1013.5,1006.4,1005.5,1001.3,1003.4,1009.6,1011.5,1016.4,1012.6,1009.8
19,1969,1012.2,1014.0,1012.7,1010.9,1004.9,1003.4,1005.4,1004.4,1008.4,1011.5,1015.6,1015.9,1009.9
20,1970,1013.2,1014.6,1013.1,1012.8,1007.4,1006.2,1002.8,1005.4,1007.8,1013.7,1014.0,1014.2,1010.4
21,1971,1012.3,1013.7,1012.9,1011.1,1007.9,1002.9,1002.4,1003.5,1006.7,1012.9,1015.5,1015.9,1009.8
22,1972,1015.7,1010.4,1011.2,1012.3,1006.1,1003.2,1002.5,1005.5,1007.0,1012.4,1013.5,1014.6,1009.5
23,1973,1015.1,1013.1,1012.2,1009.2,1007.9,1003.6,1004.7,1008.0,1008.0,1013.0,1012.9,1012.6,1010.0
24,1974,1013.4,1013.1,1013.4,1008.3,1008.6,1001.6,1003.4,1001.7,1007.0,1011.2,1015.8,1017.3,1009.6
25,1975,1012.9,1011.5,1010.7,1010.1,1006.8,1002.3,1004.0,1005.4,1008.1,1011.8,1014.8,1013.8,1009.4
26,1976,1013.0,1013.5,1012.4,1011.8,1006.8,1004.4,1005.4,1005.2,1007.0,1010.7,1015.3,1013.7,1009.9
27,1977,1014.9,1014.9,1014.5,1009.6,1007.7,1003.0,1003.8,1000.5,1007.9,1014.8,1014.8,1016.2,1010.2
28,1978,1010.6,1012.4,1010.4,1008.1,1007.6,1005.0,1004.7,1005.4,1007.3,1013.0,1014.6,1016.8,1009.7
29,1979,1014.2,1009.5,1011.5,1010.8,1006.1,1007.4,1002.8,1004.1,1008.3,1009.5,1015.6,1017.1,1009.7
30,1980,1011.6,1014.6,1012.6,1012.0,1007.5,1005.5,1002.4,1003.7,1007.5,1011.6,1014.0,1009.7,1009.4
31,1981,1013.0,1011.8,1012.7,1008.8,1005.9,1004.6,1005.5,1001.1,1007.8,1011.3,1015.2,1015.9,1009.5
