,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1938,1017.4,1011.6,1015.8,1010.8,1013.0,1007.4,1009.8,1011.8,1011.0,1015.4,1015.6,1015.7,1012.9
1,1939,1016.0,1016.0,1012.9,1015.8,1011.2,1008.2,1010.4,1009.7,1011.3,1016.2,1017.0,1019.7,1013.7
2,1940,1009.6,1016.1,1012.1,1013.2,1011.6,1010.1,1010.8,1012.2,1011.4,1017.4,1018.8,1014.5,1013.2
3,1941,1012.9,1017.3,1013.8,1012.8,1012.9,1009.6,1006.6,1009.2,1012.6,1018.0,1019.2,1016.9,1013.5
4,1942,1012.6,1016.0,1018.2,1016.0,1010.9,1008.9,1008.4,1008.8,1011.6,1015.4,1015.6,1014.0,1013.0
5,1943,1014.5,1015.7,1013.3,1016.0,1011.8,1010.0,1012.2,1011.3,1012.6,1014.9,1018.0,1018.2,1014.0
6,1944,1017.4,1013.6,1012.0,1012.4,1012.6,1008.6,1009.7,1011.7,1012.1,1016.5,1015.8,1013.4,1013.0
7,1945,1012.6,1014.0,1017.8,1014.0,1008.5,1009.0,1008.2,1012.9,1013.2,1017.4,1015.6,1012.0,1012.9
8,1946,1016.6,1015.4,1017.4,1014.4,1012.6,1010.8,1007.8,1009.8,1011.8,1017.6,1017.8,1012.5,1013.7
9,1947,1016.8,1012.1,1014.9,1011.4,1012.0,1009.4,1010.9,1012.4,1010.1,1016.1,1017.8,1016.2,1013.3
10,1948,1015.2,1015.2,1018.1,1015.4,1013.3,1008.6,1009.6,1009.0,1012.8,1017.4,1020.1,1018.2,1014.4
11,1949,×,×,×,×,×,×,×,×,×,×,×,×,×
12,1950,1012.8,1014.8,1015.0,1014.6,1012.4,1008.5,1010.4,1007.2,1012.6,1016.6,1016.6,1015.2,1013.1
13,1951,1017.3,1015.0,1014.6,1015.4,1011.5,1007.8,1010.3,1011.1,1012.6,1015.5,1016.2,1016.2,1013.6
14,1952,1014.8,1016.6,1013.4,1015.7,1012.9,1008.2,1008.6,1009.9,1012.2,1016.2,1018.6,1018.0,1013.8
15,1953,1014.0,1019.3,1013.0,1015.2,1013.5,1008.0,1009.7,1009.5,1012.6,1016.9,1017.6,1020.1,1014.1
16,1954,1015.2,1016.2,1017.1,1013.8,1012.2,1009.7,1009.2,1010.3,1011.6,1016.7,1018.2,1018.6,1014.1
17,1955,1016.2,1011.9,1017.9,1015.4,1010.7,1008.9,1009.6,1010.0,1012.4,1013.8,1018.6,1013.6,1013.3
18,1956,1011.8,1011.2,1016.8,1013.6,1013.0,1008.7,1008.5,1008.8,1014.4,1018.2,1018.8,1016.9,1013.4
19,1957,1016.6,1016.6,1012.5,1015.5,1012.0,1008.9,1007.6,1010.4,1012.6,1014.6,1019.4,1015.8,1013.5
20,1958,1017.0,1015.7,1014.2,1015.3,1012.0,1009.6,1008.7,1010.9,1010.4,1018.5,1019.6,1016.8,1014.1
21,1959,1014.6,1019.7,1017.8,1014.2,1011.9,1008.6,1007.6,1006.9,1011.3,1016.3,1018.8,1018.2,1013.8
22,1960,1014.6,1015.8,1014.4,1014.7,1011.0,1010.8,1009.2,1011.2,1014.3,1017.3,1017.4,1014.5,1013.8
23,1961,1015.8,1012.3,1017.3,1014.6,1012.2,1009.9,1008.9,1010.1,1013.8,1015.7,1019.5,1014.1,1013.7
24,1962,1010.5,1014.8,1012.4,1016.0,1011.5,1009.2,1009.7,1010.7,1013.3,1017.0,1019.2,1015.8,1013.3
