,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1886,1016.0,1017.6,1019.6,1016.7,1013.1,1009.9,1010.0,1010.7,1011.6,×,×,×,1013.9 ]
1,1887,×,×,×,×,1014.0,1006.7,1010.8,1009.3,1012.7,1017.3,1018.9,1016.3,1013.3 ]
2,1888,1018.1,1020.5,1018.4,1015.1,1010.7,1005.7,1008.3,1010.7,1012.5,1018.3,1018.1,1019.6,1014.7
3,1889,1020.4,1017.6,1019.3,1016.0,1014.0,1008.4,1007.7,1009.5,1011.9,1016.5,1021.3,1020.5,1015.3
4,1890,1019.9,1019.5,1019.2,1015.1,1011.5,1009.7,1010.9,1005.2,1010.1,1015.3,1021.1,1016.0,1014.5
5,1891,1016.4,1020.0,1017.2,1017.7,1009.5,1008.5,1007.7,1010.9,1012.9,1016.8,1018.5,1021.2,1014.8
6,1892,1020.1,1017.9,1017.7,1014.9,1012.1,1008.3,1009.5,1010.8,1009.3,1017.5,1018.7,1018.1,1014.6
7,1893,1016.0,1019.6,1017.6,1013.6,1013.5,1010.9,1009.7,1009.7,1015.3,1017.9,1018.0,1019.3,1015.1
8,1894,1018.5,1021.1,1018.5,1016.3,1013.6,1011.2,1009.7,1006.8,1013.6,1018.7,1020.7,1019.5,1015.7
9,1895,1017.9,1017.7,1017.9,1015.5,1013.3,1009.6,1007.2,1008.1,1014.1,1015.5,1020.3,1016.7,1014.5
10,1896,1015.7,1020.7,1020.0,1017.7,1013.5,1010.4,1008.0,1009.9,1011.2,1018.0,1018.0,1019.9,1015.3
11,1897,1020.9,1019.6,1022.3,1015.9,1010.4,1008.5,1009.5,1009.9,1013.2,1017.3,1019.1,1021.3,1015.7
12,1898,1021.6,1015.1,1019.3,1018.4,1010.7,1008.0,1010.0,1009.6,1012.0,1017.5,1020.4,1017.1,1015.0
13,1899,1018.5,1020.1,1017.6,1016.3,1013.6,1009.6,1004.8,1010.9,1013.7,1016.7,1020.1,1019.3,1015.1
14,1900,1021.1,1020.3,1017.5,1017.1,1010.1,1012.0,1007.6,1010.1,1013.6,1019.1,1019.9,1020.3,1015.7
15,1901,1020.9,1014.0,1019.9,1017.2,1012.3,1008.0,1008.0,1011.2,1011.9,1016.7,1018.3,1018.8,1014.8
16,1902,1018.9,1022.1,1017.7,1015.3,1012.0,1008.3,1007.9,1010.1,1010.1,1019.3,1021.5,1016.9,1015.0
17,1903,1018.5,1020.7,1019.2,1017.2,1014.0,1007.7,1008.8,1012.1,1013.7,1017.3,1019.3,1018.0,1015.5
18,1904,1020.5,1020.3,1018.8,1018.0,1012.0,1009.6,1009.1,1010.1,1011.2,1017.1,1017.2,1018.8,1015.2
19,1905,1017.3,1017.5,1022.3,1016.7,1013.5,1008.1,1008.9,1009.1,1014.4,1017.5,1021.3,1019.3,1015.5
20,1906,1020.0,1016.5,1016.4,1014.7,1012.9,1009.1,1004.5,1008.4,1013.5,1017.3,1022.0,1015.9,1014.3
21,1907,1019.7,1018.4,1018.0,1016.8,1009.3,1008.7,1008.3,1006.4,1012.4,1017.6,1020.1,1018.7,1014.5
