,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,3.3,3.3,4.4,5.1,4.5,4.2,3.1,3.1,3.4,3.3,3.5,3.5,3.7
1,1952,3.4,3.4,3.5,4.1,4.2,3.5,2.7,2.9,2.9,3.3,3.5,3.4,3.4
2,1953,4.2,4.1,3.8,4.4,4.1,3.9,3.4,3.2,2.3,2.6,4.5,3.9,3.7
3,1954,3.6,3.7,4.0,4.8,4.4,4.3,3.5,3.2,3.6,3.7,3.8,4.3,3.9
4,1955,4.3,5.3,4.2,4.6,4.4,4.0,3.6,3.4,3.2,4.5,4.0,5.3,4.2
5,1956,4.5,4.7,4.0,4.6,5.1,3.9,3.3,3.2,2.6,3.8,4.2,4.2,4.0
6,1957,4.2,5.0,4.8,5.1,4.1,3.6,3.0,3.0,3.6,3.9,4.3,4.4,4.1
7,1958,5.4,4.9,5.4,4.5,4.5,3.4,3.7,3.1,3.7,3.2,3.2,5.3,4.2
8,1959,4.1,3.6,3.9,5.6,4.2,3.5,3.2,3.2,3.8,3.3,3.7,4.0,3.8
9,1960,4.3,4.6,4.0,4.9,4.5,3.7,3.2,3.7,3.0,3.1,3.0,3.9,3.8
10,1961,3.3,3.7,3.8,4.8,4.5,3.5,2.9,2.8,2.9,3.7,3.7,3.0,3.6
11,1962,4.1,2.9,4.5,3.8,3.9,3.2,3.5,3.6,3.4,2.6,3.2,3.5,3.5
12,1963,4.2,2.9,3.4,4.0,3.8,3.8,2.9,2.8,3.2,2.7,3.6,3.3,3.4
13,1964,3.0,3.3,3.3,4.1,3.5,3.6,3.1,3.4,2.6,2.5,3.7,3.5,3.3
14,1965,3.4,3.8,3.8,4.4,4.1,3.6,3.1,2.9,3.6,2.8,3.8,3.5,3.6
15,1966,4.7,3.8,4.5,4.0,3.7,3.7,3.4,2.8,3.0,3.3,4.0,3.1,3.7
16,1967,4.1,3.0,4.3,4.1,3.3,3.2,2.8,2.8,3.2,3.3,3.5,2.9,3.4
17,1968,4.2,3.0,3.6,3.5,3.6,3.4,3.2,3.2,2.8,2.9,3.3,3.4,3.3
18,1969,3.3,3.8,4.0,3.8,4.5,3.7,3.2,2.6,2.6,3.1,3.2,3.6,3.5
19,1970,3.2,4.2,4.0,3.7,3.7,3.3,3.5,2.8,3.0,3.0,3.2,3.6,3.4
20,1971,3.3,3.4,3.9,4.1,4.3,3.2,2.9,3.1,3.5,2.9,3.0,4.1,3.5
21,1972,3.2,4.1,3.0,3.4,4.0,3.5,3.1,2.8,3.3,3.2,4.1,3.5,3.4
22,1973,3.0,3.8,3.3,4.4,3.8,2.8,3.0,3.1,3.2 ),2.9,3.7,3.6,3.4
23,1974,4.5,3.9,4.1,5.8,4.1,3.9,3.5,3.3,3.3,4.3,4.5,4.1,4.1
