,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1971,1018.6,1017.3,1016.6,1012.2,1010.4,1007.6,1006.0,1006.8,1005.3,1013.1,1016.9,1018.5,1012.4
1,1972,1017.8,1014.7,1017.2,1014.1,1008.6,1006.2,1000.4,1005.0,1010.8,1014.7,1017.1,1017.8,1012.0
2,1973,1017.3,1016.8,1016.4,1011.7,1009.0,1005.1,1005.1,1006.6,1011.1,1012.5,1016.5,1019.3,1012.3
3,1974,1016.7,1017.2,1016.3,1011.8,1009.3,1005.0,1005.5,1002.4,1008.1,1010.3,1014.8,1018.0,1011.3
4,1975,1019.1,1016.9,1014.2,1012.4,1008.3,1006.2,1006.4,1001.7,1008.9,1010.2,1015.6,1018.8,1011.6
5,1976,1019.6,1015.5,1015.3,1012.7,1007.7,1006.1,1005.8,1007.7,1007.9,1013.3,1016.9,1017.7,1012.2
6,1977,1017.1,1020.1,1018.1,1013.5,1009.2,1005.6,1005.9 ),1003.3,1006.7,1014.6,1016.8,1018.0,1012.4
7,1978,1018.6,1019.8,1014.4,1011.9,1008.2,1006.2,1004.6,1003.5,1008.3,1011.9,1016.3,1019.5,1011.9
8,1979,1017.9,1015.5,1013.9,1012.6,1008.6,1009.0,1006.0,1002.5,1010.1,1012.3,1017.0,1019.3,1012.1
9,1980,1017.3,1018.4,1015.6,1012.9,1009.4,1010.6,1007.2,1006.6,1009.1,1013.5,1014.8,1017.9,1012.8
10,1981,1020.4,1017.2,1016.1,1013.0,1009.5,1005.6,1006.2,1002.4,1009.0,1013.2,1016.6,1020.6,1012.5
11,1982,1019.7,1016.8,1014.6,1013.6,1009.9,1005.7,1004.4,1004.0,1008.8,1013.5,1016.4,1018.1,1012.1
12,1983,1020.9,1016.9,1015.4,1012.7,1009.5,1006.9,1008.0,1006.0,1008.8,1013.6,1017.6,1019.9,1013.0
13,1984,1017.6,1017.4,1015.1,1011.3,1008.7,1005.0,1005.6,1002.1,1010.4,1012.2,1015.4,1017.1,1011.5
14,1985,1018.7,1013.1,1016.4,1011.3,1008.9,1003.6,1007.0,1001.9,1010.4,1012.5,1016.7,1018.0,1011.5
15,1986,1019.9,1018.1,1015.3,1013.6,1007.6,1005.6,1007.6,1002.5,1008.1,1015.3,1015.5,1019.9,1012.4
16,1987,1020.9,1019.6,1015.1,1013.7,1010.6,1005.7,1005.9,1007.9,1009.1,1012.4,1015.3,1020.0,1013.0
17,1988,1017.3,1017.9,1013.6,1014.0,1007.9,1006.1,1006.3,1006.6,1008.1,1010.9,1018.3,1020.2,1012.3
18,1989,1018.3,1017.9,1015.8,1010.6,1009.8,1007.6,1006.3,1003.9,1006.2,1013.7,1018.0,1018.8,1012.2
19,1990,1018.3,1018.3,1016.9,1011.8,1009.4,1005.9,1006.4,1000.4,1008.1,1014.3,1015.7,1019.6,1012.1
20,1991,1018.4,1018.7,1015.4,1012.8,1011.4,1007.6,1006.6,1004.2,1006.0,1011.0,1017.7,1019.5,1012.4
21,1992,1019.9,1017.2,1015.1,1011.1,1009.5,1006.1,1009.0,1002.9,1006.5,1013.5,1017.7,1019.6,1012.3
22,1993,1018.7,1018.9,1016.6,1013.2,1010.1,1007.3,1005.9,1007.2,1009.5,1014.4,1016.2,1020.1,1013.2
23,1994,1017.7,1015.3,1017.8,1011.5,1008.3,1007.5,1004.3,1003.7,1008.9,1011.9,1018.1,1018.7,1012.0
24,1995,1019.8,1018.6,1015.2,1013.0,1009.9,1005.5,1007.8,1009.0,1009.7,1012.8,1016.7,1020.6,1013.2
25,1996,1018.0,1019.2,1014.6,1013.5,1009.6,1009.2,1004.9,1006.4,1006.3,1012.9,1014.8,1018.7,1012.3
26,1997,1018.1,1017.7,1016.5,1013.5,1008.5,1006.3,1008.0,1004.0,1011.2,1014.8,1017.1,1018.7,1012.9
27,1998,1017.8,1016.9,1016.1,1013.5,1009.9,1007.4,1006.2,1008.5,1006.9,1010.6,1014.2,1017.8,1012.2
28,1999,1017.1,1019.7,1010.9,1011.9,1010.0,1007.0,1003.1,1006.4,1007.5,1013.4,1016.0,1019.4,1011.9
29,2000,1018.4,1016.3,1014.4,1011.1,1008.9,1007.6,1004.4,1004.4,1007.5,1011.5,1014.7,1016.5,1011.3
30,2001,1016.5,1016.3,1014.6,1011.7,1007.3,1006.7,1005.7,1005.1,1004.3,1012.1,1017.1,1020.8,1011.5
31,2002,1019.1,1019.6,1014.8,1012.7,1008.9,1006.1,1001.9,1006.5,1009.0,1012.8,1016.8,1018.3,1012.2
32,2003,1020.3,1018.0,1016.8,1012.1,1008.3,1005.8,1008.6,1006.1,1008.0,1013.3,1014.9,1020.2,1012.7
33,2004,1018.7,1017.5,1014.7,1012.1,1008.6,1006.3,1007.6,1001.0,1008.7,1012.7,1017.6,1017.2,1011.9
34,2005,1017.9 ),1017.1 ),1018.3,1013.6,1007.3,1005.2,1006.5,1004.2,1009.0,1013.0,1015.3,1019.8,1012.3
35,2006,1016.9,1019.4,1014.7,1011.2,1010.1,1007.1,1004.2,1004.8,1007.3 ),1012.7,1014.7,1018.9,1011.8
36,2007,1020.1,1016.8,1014.5,1013.4,1009.3,1006.4,1005.9,1005.0,1005.2 ),1011.5 ),1014.9,1016.7,1011.6
37,2008,1018.4,1018.8,1015.5,1012.2,1007.5 ),1007.3,1005.3,1006.6,1006.7 ),1013.5,1016.3,1018.6,1012.2
38,2009,1019.9,1015.0 ),1014.6,1012.9,1010.8,1005.4,1006.2,1003.2,1007.3,1010.4,1015.6,1018.0,1011.6
39,2010,1019.8,1015.6,1016.6,1014.3,1008.4,1007.4,1008.0,1007.3,1008.7,1011.0,1015.7,1014.9,1012.3
40,2011,1019.5,1015.7,1018.7,1013.8,1008.6,1006.5,1005.1,1005.5,1007.5,1013.0,1014.8,1018.8,1012.3
41,2012,1017.5,1016.3,1015.6,1011.8,1007.5,1003.3,1005.2,1001.6,1008.6,1012.7,1015.3,1017.5,1011.1
42,2013,1019.0,1017.8,1015.0,1012.1,1008.9,1006.0,1007.9,1005.4,1008.1,1010.9,1017.1,1017.4,1012.1
43,2014,1020.0,1016.2,1017.1,1013.2,1009.5,1004.2,1005.0,1006.5,1008.3,1012.7,1015.6 ),1020.2 ),1012.4
44,2015,1020.2,1018.5,1017.2 ),1013.4,1008.4,1007.2,1003.8,1004.1,1008.6,1013.3,1016.7,1018.8,1012.5
45,2016,1018.8,1020.6,1017.0,1011.4,1009.6,1007.6,1007.0,1003.0,1006.0 ),1011.1,1016.1,1018.4,1012.2
46,2017,1019.1,1019.5,1015.9,1012.6,1009.8,1006.6,1008.0,1006.2,1008.3,1011.0,1015.1,1019.0,1012.6
47,2018,1017.3,1018.2,1015.5,1013.9,1010.3,1004.9,1003.5,1002.3,1007.5,1013.3,1016.4,1018.4,1011.8
48,2019,1020.1,1017.3,1015.1 ],　,　,　,　,　,　,　,　,　,1018.7 ]
