,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1921,1016.6,1013.8,1013.3,1017.2,1011.0,1009.9,1012.3,1009.5,1014.0,1015.8,1015.4,1017.7,1013.9
1,1922,1016.5,1017.1,1015.4,1015.7,1013.5,1008.0,1011.3,1009.1,1015.0,1015.9,1016.2,1012.4,1013.8
2,1923,1017.6,1013.7,1020.4,1014.6,1012.6,1008.4,1008.8,1011.0,1009.7,1015.5,1015.5,1018.1,1013.8
3,1924,1016.6,1012.0,1016.6,1015.8,1009.5,1009.4,1013.9,1009.0,1012.7,1017.7,1014.0,1017.1,1013.7
4,1925,1014.7,1017.1,1013.2,1016.7,1012.6,1008.8,1011.9,1011.6,1013.0,1015.0,1017.0,1013.3,1013.7
5,1926,1015.5,1017.3,1014.1,1009.9,1014.1,1011.0,1009.1,1009.6,1011.8,1014.4,1017.5,1014.7,1013.3
6,1927,1015.0,1015.7,1017.1,1016.2,1011.6,1009.7,1009.7,1008.4,1011.1,1016.7,1015.6,1014.3,1013.4
7,1928,1017.3,1016.3,1014.6,1015.2,1012.8,1008.9,1011.0,1008.5,1014.0,1017.3,1019.2,1016.8,1014.3
8,1929,1015.5,1014.0,1015.3,1013.1,1012.6,1009.7,1011.0,1009.2,1012.4,1016.5,1019.2,1019.6,1014.0
9,1930,1018.8,1016.8,1018.7,1015.1,1013.8,1009.2,1008.6,1010.3,1014.2,1015.8,1017.5,1018.6,1014.8
10,1931,1016.3,1017.5,1015.5,1013.1,1013.4,1009.9,1008.7,1012.7,1014.1,1018.1,1020.2,1018.3,1014.8
11,1932,1021.1,1017.5,1013.8,1012.7,1013.6,1011.7,1009.1,1011.4,1012.7,1015.9,1016.5,1019.2,1014.6
12,1933,1018.6,1015.7,1015.4,1017.0,1013.9,1010.4,1012.1,1010.3,1012.2,1016.2,1018.5,1012.4,1014.4
13,1934,1013.9,1011.9,1012.4,1016.3,1014.1,1009.9,1009.5,1011.3,1013.1,1019.9,1016.4,1021.8,1014.2
14,1935,1014.7,1017.6,1014.0,1016.0,1012.2,1010.0,1010.3,1009.0,1012.6,1015.4,1021.0,1017.3,1014.2
15,1936,1012.7,1012.9,1018.4,1013.5,1014.7,1011.0,1009.2,1009.7,1013.2,1014.7,1019.4,1018.5,1014.0
16,1937,1017.5,1016.5,1013.2,1018.3,1010.3,1012.6,1010.0,1013.7,1013.6,1017.5,1016.8,1012.3,1014.4
17,1938,1018.0,1012.0,1016.6,1011.3,1013.2,1008.0,1010.3,1012.8,1011.7,1016.3,1016.2,1016.3,1013.6
18,1939,1017.0,1016.7,1013.7,1016.3,1011.7,1008.6,1010.7,1010.1,1011.7,1016.9,1017.6,1020.4,1014.3
19,1940,1010.1,1016.8,1012.5,1013.3,1011.8,1010.5,1010.8,1013.0,1012.1,1018.1,1019.7,1015.3,1013.7
20,1941,1013.3,1018.0,1014.4,1013.1,1013.2,1010.0,1007.5,1009.7,1013.4,1018.7,1020.1,1017.8,1014.1
21,1942,1013.1,1016.9,1019.0,1016.2,1011.5,1009.3,1008.9,1009.3,1012.0,1016.2,1016.3,1014.7,1013.6
22,1943,1015.0,1016.5,1014.1,1016.6,1012.3,1010.5,1012.8,1011.7,1013.3,1015.7,1018.7,1019.1,1014.7
23,1944,1018.3,1014.4,1013.7,1013.1,1013.0,1009.1,1010.1,1011.9,1012.7,1017.3,1016.7,1014.0,1013.7
24,1945,1013.3,1015.0,1018.6,1014.4,1009.2,1009.8,1008.8,1013.3,1013.6,1018.3,1016.3,1012.6,1013.6
25,1946,1017.3,1016.4,1018.3,1014.7,1013.2,1010.9,1008.4,1010.4,1012.4,1018.3,1018.7,1012.7,1014.3
26,1947,1017.5,1012.8,1015.7,1011.9,1012.4,1010.1,1010.9,1012.6,1010.9,1017.1,1018.5,1016.9,1013.9
27,1948,1016.0,1016.0,1019.0,1016.0,1013.9,1009.2,1009.9,1009.7,1013.3,1018.3,1021.0,1019.8,1015.2
28,1949,1014.2,1011.1,1015.2,1013.6,1012.6,1010.9,1011.0,1010.3,1013.7,1016.5,1021.0,1015.9,1013.8
29,1950,1013.1,1015.7,1015.7,1015.6,1012.9,1009.0,1010.6,1008.2,1013.1,1017.7,1017.8,1016.1,1013.8
30,1951,1018.3,1016.2,1015.4,1015.9,1012.0,1008.1,1010.6,1011.5,1013.3,1016.4,1016.8,1016.7,1014.3
31,1952,1015.6,1017.7,1014.2,1016.0,1013.1,1008.6,1009.0,1010.5,1012.9,1017.2,1019.7,1019.0,1014.5
32,1953,1014.8,1020.2,1013.9,1015.8,1014.0,1008.6,1010.2,1010.1,1013.5,1017.9,1018.4,1020.9,1014.9
33,1954,1016.2,1017.0,1018.1,1014.5,1012.7,1010.8,1009.9,1011.0,1012.4,1018.3,1019.4,1019.5,1015.0
34,1955,1016.9,1012.8,1018.9,1016.1,1011.3,1009.3,1009.8,1010.7,1013.0,1014.7,1019.3,1014.2,1013.9
35,1956,1012.4,1011.9,1017.5,1014.2,1013.5,1009.1,1009.1,1009.3,1015.0,1019.1,1019.6,1017.5,1014.0
36,1957,1017.3,1017.5,1013.1,1016.0,1012.5,1009.6,1008.1,1010.8,1013.3,1015.3,1020.2,1016.3,1014.2
37,1958,1017.4,1016.3,1014.6,1015.6,1012.5,1010.0,1009.0,1011.2,1011.2,1019.1,1020.3,1017.4,1014.6
38,1959,1015.0,1020.6,1018.4,1014.8,1012.1,1009.2,1007.9,1007.5,1011.8,1017.1,1019.6,1019.1,1014.4
39,1960,1015.1,1016.6,1015.1,1015.4,1011.5,1011.2,1009.6,1011.8,1014.8,1018.2,1018.1,1015.1,1014.4
40,1961,1016.3,1012.8,1018.1,1015.1,1012.3,1010.3,1009.1,1010.4,1014.2,1016.6,1020.1,1014.7,1014.2
41,1962,1010.8,1015.3,1012.9,1016.5,1011.9,1009.7,1010.1,1010.9,1013.7,1017.7,1019.8,1016.6,1013.8
42,1963,1004.0,1014.5,1015.7,1019.6,1014.1,1012.3,1011.0,1008.4,1012.3 ),1017.9,1018.2,1017.3,1013.8
43,1964,1018.2,1019.7,1016.0,1020.0,1014.6,1008.0,1008.4,1009.5,1012.9,1019.7,1016.7,1018.9,1015.2
44,1965,1014.7,1013.7,1013.1,1014.0,1011.8,1009.2,1007.2,1010.3,1010.3,1017.6,1017.7,1014.8,1012.9
45,1966,1014.4,1014.9,1010.8,1014.6,1012.2,1010.4,1009.0,1009.8,1011.0,1015.5,1016.8,1016.3,1013.0
46,1967,1015.4,1018.3,1015.6,1018.9,1012.3,1006.4,1007.9,1007.1,1010.4,1016.0,1021.3,1016.3,1013.8
47,1968,1011.4 ),1016.1,1014.6,1018.0,1011.5,1011.1,1007.3,1008.2,1015.4,1015.8,1019.2,1015.2,1013.7
