,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1891,1021.9,1020.8,1018.7,1016.3,1011.5,1008.0,1008.8,1011.1,1010.8,1016.0,1021.3,1024.8,1015.8
1,1892,1023.2,1018.5,1018.5,1014.7,1011.6,1008.4,1008.5,1011.2,1007.6,1016.4,1019.3,1023.1,1015.1
2,1893,1019.3,1022.0,1018.3,1013.6,1012.8,1010.9,1009.7,1008.8,1013.5,1016.8,1021.2,1022.7,1015.8
3,1894,1020.3,1022.5,1018.4,1015.6,1013.5,1011.5,1010.7,1008.3,1012.3,1017.5,1021.7,1022.3,1016.2
4,1895,1022.5,1020.3,1018.8,1015.6,1013.9,1009.5,1006.9,1007.2,1012.1,1015.3,1022.4,1021.5,1015.5
5,1896,1021.6,1022.7,1020.9,1016.1,1013.3,1011.2,1008.5,1010.3,1010.1,1018.0,1019.2,1023.7,1016.3
6,1897,1021.7,1022.1,1019.9,1016.7,1010.9,1007.7,1010.8,1011.3,1012.5,1018.8,1019.9,1026.5,1016.6
7,1898,1023.1,1016.8,1018.7,1018.0,1010.8,1008.0,1011.7,1009.1,1011.6,1016.7,1020.1,1020.7,1015.4
8,1899,1023.5,1020.7,1019.2,1016.7,1012.5,1010.7,1002.7,1010.8,1011.9,1018.7,1021.9,1020.5,1015.8
9,1900,1023.6,1022.4,1018.9,1015.5,1010.8,1010.8,1008.4,1008.1,1011.7,1018.7,1020.3,1023.3,1016.0
10,1901,1021.5,1019.9,1021.5,1014.1,1012.0,1006.8,1007.6,1010.7,1010.9,1014.7,1018.3,1022.8,1015.1
11,1902,1022.0,1025.1,1017.9,1015.9,1011.2,1006.5,1008.7,1008.3,1009.3,1018.9,1020.9,1018.4,1015.3
12,1903,1021.2,1022.7,1016.7,1015.7,1013.7,1007.2,1008.5,1012.3,1012.7,1016.0,1020.7,1022.0,1015.8
13,1904,1024.5,1021.1,1017.3,1016.5,1011.9,1010.1,1008.3,1008.1,1011.2,1016.9,1020.9,1022.5,1015.8
14,1905,1018.0,1019.3,1019.3,1015.2,1013.3,1006.8,1008.7,1008.7,1014.3,1017.2,1021.9,1020.7,1015.3
15,1906,1023.1,1017.5,1018.7,1015.6,1011.3,1007.7,1003.3,1008.3,1012.8,1016.7,1021.5,1020.5,1014.8
16,1907,1021.3,1021.2,1018.4,1015.6,1011.2,1008.1,1006.1,1006.1,1009.6,1016.5,1020.7,1023.1,1014.8
17,1908,1023.5,1020.9,1019.5,1015.3,1011.7,1008.5,1008.4,1008.0,1012.1,1016.3,1020.3,1022.3,1015.6
18,1909,1021.1,1020.4,1019.3,1014.0,1012.8,1007.5,1011.6,1004.3,1010.1,1017.3,1019.9,1023.3,1015.1
19,1910,1019.3,1019.7,1018.3,1015.5,1011.7,1008.1,1007.1,1006.9,1010.4,1016.5,1019.7,1023.5,1014.7
20,1911,1020.9,1024.5,1017.2,1014.9,1013.3,1008.0,1009.3,1007.5,1013.1,1016.4,1020.4,1024.0,1015.8
21,1912,1023.3,1019.6,1017.7,1017.2,1011.7,1005.3,1008.5,1009.2,1010.9,1017.9,1021.7,1024.8,1015.7
22,1913,1023.9,1021.3,1018.7,1014.4,1011.2,1007.1,1008.1,1006.3,1012.5,1015.5,1022.5,1023.1,1015.4
23,1914,1022.9,1020.5,1017.6,1014.7,1013.1,1009.2,1008.5,1006.9,1012.4,1019.1,1020.9,1021.6,1015.6
24,1915,1023.3,1018.3,1019.1,1015.9,1011.7,1010.1,1009.1,1004.1,1010.0,1015.3,1022.5,1021.3,1015.1
25,1916,1023.3,1016.9,1019.1,1016.3,1012.4,1008.5,1008.9,1004.9,1012.8,1017.7,1020.7,1021.5,1015.3
26,1917,1022.8,1018.8,1019.3,1013.1,1011.6,1008.5,1010.1,1008.7,1012.9,1015.5,1021.6,1020.1,1015.3
27,1918,1022.7,1023.3,1019.1,1015.9,1012.1,1009.7,1005.2,1010.4,1010.5,1017.6,1021.7,1022.0,1015.9
28,1919,1021.3,1020.1,1017.3,1014.9,1013.1,1006.1,1009.6,1008.0,1011.6,1016.4,1019.5,1022.3,1015.0
29,1920,1020.7,1022.4,1019.6,1016.3,1007.1,1006.8,1009.1,1004.4,1011.2,1016.1,1019.6,1021.7,1014.6
30,1921,1022.9,1019.3,1017.6,1015.7,1010.3,1006.4,1009.7,1006.8,1012.0,1016.7,1021.7,1023.1,1015.2
31,1922,1023.3,1018.9,1018.8,1015.3,1011.6,1007.2,1009.5,1008.5,1013.5,1016.4,1020.1,1022.0,1015.4
32,1923,1023.9,1018.3,1021.5,1015.7,1010.8,1008.0,1008.8,1008.9,1008.3,1015.9,1019.3,1023.7,1015.3
33,1924,1022.3,1018.3,1020.8,1014.5,1010.0,1008.0,1012.4,1005.2,1012.3,1017.1,1020.0,1022.4,1015.3
34,1925,1020.7,1021.9,1018.5,1018.0,1011.2,1007.2,1009.1,1007.3,1009.9,1016.4,1019.7,1022.0,1015.2
35,1926,1023.9,1023.3,1019.6,1015.3,1012.5,1010.1,1010.1,1011.1,1012.1,1016.7,1021.6,1022.0,1016.5
36,1927,1021.7,1020.9,1018.8,1016.0,1012.5,1009.1,1010.5,1007.6,1009.6,1017.7,1018.7,1020.7,1015.3
37,1928,1023.1,1023.1,1017.7,1015.5,1011.9,1007.9,1008.8,1003.9,1011.5,1018.5,1021.7,1022.9,1015.5
38,1929,1023.2,1021.3,1019.2,1015.9,1012.3,1007.3,1010.3,1009.2,1012.0,1016.3,1022.4,1021.3,1015.9
39,1930,1023.9,1020.3,1019.5,1014.4,1013.6,1009.3,1008.1,1007.6,1014.3,1016.1,1022.3,1023.2,1016.1
40,1931,1020.6,1019.8,1018.2,1015.3,1012.8,1007.3,1008.0,1009.3,1012.2,1018.6,1020.4,1023.0,1015.5
