,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1947,1020.8,1020.6,1020.0,1015.7,1012.6,1009.2,1009.8,1013.4,1011.7,1018.5,1022.0,1023.4,1016.5
1,1948,1021.4,1020.0,1019.4,1015.3,1013.2,1007.7,1009.4,1008.0,1012.8,1017.7,1023.0,1021.2,1015.8
2,1949,1021.3,1017.2,1018.8,1016.4,1012.0,1006.8,1008.9,1007.4,1012.5,1016.9,1021.4,1020.0,1015.0
3,1950,1018.0,1019.8,1018.4,1015.0,1011.6,1008.6,1005.8,1005.4,1010.8,1018.0,1018.1,1022.2,1014.3
4,1951,1023.1,1018.1,1019.9,1016.8,1012.5,1008.5,1009.6,1008.9,1013.4,1015.7,1020.9,1021.9,1015.8
5,1952,1021.6,1021.1,1016.8,1015.7,1011.9,1007.7,1007.0,1009.7,1012.9,1017.5,1018.5,1024.3,1015.4
6,1953,1022.2,1024.7,1017.9,1017.4,1011.9,1007.4,1008.7,1009.1,1011.9,1016.8,1021.7,1024.1,1016.2
7,1954,1019.2,1020.4,1021.0,1014.2,1011.5,1006.7,1006.6,1008.1,1007.8,1017.4,1019.5,1024.3,1014.7
8,1955,1025.3,1017.0,1019.0,1015.7,1010.6,1009.0,1007.4,1009.2,1011.3,1016.1,1021.6,1020.5,1015.2
9,1956,1018.5,1018.8,1019.0,1014.5,1012.1,1009.0,1007.8,1008.4,1011.0,1017.8,1023.4,1025.8,1015.5
10,1957,1021.7,1022.5,1018.8,1016.5,1011.9,1008.1,1007.6,1006.9,1011.0,1017.0,1021.1,1020.7,1015.3
11,1958,1023.6,1020.2,1018.0,1015.8,1012.3,1008.5,1008.1,1010.1,1011.3,1018.2,1021.3,1021.2,1015.7
12,1959,1022.0,1020.6,1021.2,1014.4,1012.4,1007.5,1008.0,1005.7,1009.9,1016.5,1019.5,1023.0,1015.1
13,1960,1022.6,1021.4,1016.7,1015.4,1010.6,1009.5,1009.7,1007.2,1013.1,1017.5,1020.2,1022.0,1015.5
14,1961,1023.6,1019.7,1019.5,1015.5,1011.5,1008.1,1007.5,1008.5,1010.8,1015.0,1021.8,1020.6,1015.2
15,1962,1019.2,1020.8,1017.2,1016.1,1011.1,1007.5,1007.4,1009.8,1013.0,1017.4,1020.4,1020.3,1015.0
16,1963,1015.5,1021.6,1018.1,1017.2,1011.3,1009.1,1009.7,1006.3,1010.8,1018.1,1020.4,1021.7,1015.0
17,1964,1020.7,1024.6,1019.2,1016.8,1013.5,1007.3,1009.5,1006.4,1012.2,1018.4,1019.7,1022.9,1015.9
18,1965,1021.8,1020.2,1018.8,1016.0,1011.0,1008.9,1008.8,1009.3,1010.8,1018.5,1020.9,1021.7,1015.6
19,1966,1022.4,1019.5,1014.2,1014.5,1012.0,1009.0,1009.7,1005.1,1009.6,1016.9,1020.3,1022.3,1014.6
20,1967,1023.7,1022.7,1018.4,1017.1,1010.9,1006.2,1005.4,1008.2,1010.0,1017.0,1022.8,1023.2,1015.5
21,1968,1020.2,1023.2,1017.2,1018.5,1010.6,1010.1,1005.1,1007.3,1012.1,1016.6,1022.0,1018.8,1015.1
22,1969,1019.2,1020.3,1018.8,1016.3,1009.7,1008.2,1009.9,1009.4,1012.3,1016.6,1022.1,1024.0,1015.6
23,1970,1022.2,1021.8,1020.9,1017.2,1011.2,1010.4,1007.0,1007.6,1012.1,1018.1,1021.2,1022.1,1016.0
24,1971,1020.8,1020.4,1020.2,1016.1,1013.4,1007.9,1008.0,1006.2,1011.1,1018.5,1022.1,1023.1,1015.7
25,1972,1022.0,1017.0,1017.9,1016.8,1011.2,1007.1,1004.8,1010.6,1012.2,1017.9,1020.2,1022.1,1015.0
26,1973,1021.4,1019.7,1019.2,1014.2,1012.1,1008.1,1008.6,1012.0,1013.1,1018.1,1020.6,1021.6,1015.7
27,1974,1021.2,1020.3,1019.7,1013.8,1012.5,1006.7,1007.1,1005.5,1011.4,1016.4,1021.8,1024.0,1015.0
28,1975,1021.4,1019.1,1017.0,1014.3,1010.9,1007.1,1008.0,1008.1,1012.0,1015.9,1020.3,1021.8,1014.7
29,1976,1022.2,1018.8,1018.1,1015.8,1011.5,1008.6,1007.8,1010.6,1010.6,1016.3,1021.8,1021.4,1015.3
30,1977,1023.8,1023.5,1020.1,1015.3,1012.0,1006.6,1008.8,1004.9,1011.7,1019.3,1020.7,1022.7,1015.8
31,1978,1019.4,1020.9,1017.3,1014.0,1012.6,1009.2,1008.3,1009.3,1011.7,1018.4,1020.8,1023.7,1015.5
32,1979,1021.3,1017.2,1017.3,1016.0,1011.9,1011.4,1007.5,1008.2,1012.6,1015.9,1022.3,1023.9,1015.5
33,1980,1019.9,1023.1,1018.2,1016.7,1012.7,1011.2,1007.6,1008.1,1012.2,1017.5,1020.2,1019.7,1015.6
34,1981,1023.1,1019.7,1018.9,1014.9,1012.0,1009.8,1010.1 ),1005.6,1012.1,1017.0,1021.9,1023.9,1015.8
35,1982,1022.1,1021.3,1018.5,1016.2,1012.6,1007.6,1007.2,1008.5,1012.3,1017.0,1020.4,1022.9,1015.6
36,1983,1025.1,1021.5,1017.8,1014.7,1012.3 ),1008.2,1008.0,1007.9,1011.1,1017.6,1020.9,1022.3,1015.6
37,1984,1022.2,1021.1,1019.1,1016.1,1012.6,1007.6,1005.9,1008.8,1012.7,1017.2,1021.1,1021.6,1015.5
38,1985,1023.5,1016.6,1020.9,1014.0,1012.4,1008.4,1008.6,1007.9,1014.2,1017.5,1019.5,1022.6,1015.5
39,1986,1022.1,1021.3,1017.3,1016.1,1009.6,1008.1,1009.4,1007.0,1011.9,1019.3,1022.7,1022.3,1015.6
40,1987,1023.1,1020.6,1016.6,1017.0,1013.7,1008.6,1007.8,1009.2,1013.1,1017.3,1020.8,1024.0,1016.0
41,1988,1021.9,1022.9,1018.2,1016.3,1011.1,1006.8,1007.4,1007.2,1010.9,1016.2,1019.7,1023.8,1015.2
42,1989,1022.0,1020.8,1017.9,1013.6,1011.7,1009.0,1009.4,1006.6,1011.5,1017.7,1022.8,1022.2,1015.4
43,1990,1024.2,1022.2,1019.3,1014.7,1013.6,1009.5,1008.2,1007.0,1012.3,1017.2,1020.3,1022.8,1015.9
